ts_ms,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
6821.0,7.0390625,-4.2695312,-2.4882812,0.5840454,0.0920410,-0.8017578,-0.0872803,1.4277344,-6.0312500,2.6855469
6826.2,9.2226562,-5.0976562,-3.3789062,0.5719604,0.0873413,-0.8115845,-0.0812378,1.8632812,-5.6503906,2.6972656
6831.2,10.0312500,-5.2539062,-3.7265625,0.5610352,0.0835571,-0.8201904,-0.0745239,2.3281250,-5.1230469,2.6171875
6836.4,10.4414062,-5.3867188,-4.1640625,0.5509033,0.0807495,-0.8279419,-0.0667114,2.7871094,-4.4589844,2.4472656
6840.8,11.2460938,-5.8007812,-5.1289062,0.5428467,0.0792236,-0.8339844,-0.0590820,3.1855469,-3.8066406,2.1406250
6846.2,11.9804688,-5.3046875,-7.8203125,0.5347290,0.0790405,-0.8398438,-0.0497437,3.5312500,-3.1210938,1.6972656
6851.2,11.4648438,-4.5039062,-8.6210938,0.5282593,0.0803833,-0.8442993,-0.0408936,3.7695312,-2.5214844,1.1191406
6856.6,10.8359375,-3.7421875,-9.2929688,0.5227661,0.0834961,-0.8477783,-0.0320435,4.0097656,-1.8710938,0.3886719
6861.0,9.8554688,-2.5507812,-10.0117188,0.5189819,0.0881958,-0.8498535,-0.0244751,4.2167969,-1.1933594,-0.4902344
6866.2,6.8554688,-0.6679688,-11.5078125,0.5158691,0.0957642,-0.8511353,-0.0167847,4.2714844,-0.6445312,-1.5058594
6871.2,5.0937500,-0.6093750,-11.7890625,0.5137939,0.1052246,-0.8513794,-0.0109253,4.0605469,-0.3125000,-2.6718750
6876.6,3.2343750,-1.1718750,-11.9726562,0.5123291,0.1170654,-0.8507080,-0.0070190,3.6992188,0.0234375,-3.9375000
6881.0,1.0234375,-1.8242188,-11.6093750,0.5120239,0.1300049,-0.8490601,-0.0055542,3.4316406,0.7050781,-5.2324219
6886.2,-2.9062500,-3.2460938,-9.9960938,0.5133057,0.1473999,-0.8453979,-0.0056152,3.1640625,1.5761719,-6.4550781
6891.2,-4.5898438,-3.7773438,-9.0390625,0.5166016,0.1666260,-0.8397827,-0.0073853,2.9414062,2.6796875,-7.5800781
6896.4,-6.2070312,-4.2500000,-8.1054688,0.5220947,0.1867676,-0.8321533,-0.0103760,2.7597656,3.9902344,-8.5976562
6900.7,-7.8828125,-4.5429688,-7.1210938,0.5296631,0.2080078,-0.8222046,-0.0143433,2.4804688,5.1640625,-9.5039062
6906.4,-9.5820312,-4.6445312,-6.1601562,0.5394287,0.2308350,-0.8095093,-0.0199585,2.0761719,6.1425781,-10.2910156
6911.2,-12.0546875,-4.0976562,-4.1132812,0.5517578,0.2564697,-0.7930908,-0.0275269,1.6093750,7.0175781,-10.9941406
6916.4,-12.8046875,-3.8125000,-3.3125000,0.5642700,0.2803345,-0.7756958,-0.0356445,1.1445312,7.7988281,-11.5722656
6921.0,-13.3710938,-3.6328125,-2.6640625,0.5770264,0.3030396,-0.7571411,-0.0443115,0.7089844,8.4453125,-12.0312500
6926.4,-14.8203125,-3.0976562,-1.6953125,0.5925903,0.3295288,-0.7329712,-0.0552368,0.3593750,9.0097656,-12.3886719
6931.2,-15.4726562,-3.1250000,-1.5195312,0.6069336,0.3533936,-0.7088013,-0.0657349,0.1406250,9.4433594,-12.6777344
6936.4,-16.1757812,-3.2070312,-1.4375000,0.6214600,0.3775635,-0.6821289,-0.0767212,-0.0097656,9.7324219,-12.8906250
6940.5,-16.8945312,-3.3828125,-1.4570312,0.6341553,0.3991089,-0.6564941,-0.0867310,-0.1132812,9.8535156,-13.0156250
6945.8,-17.4257812,-3.4687500,-1.6640625,0.6470947,0.4217529,-0.6276245,-0.0975342,-0.1972656,9.8828125,-13.0410156
6951.2,-18.7148438,-2.9921875,-1.7304688,0.6594238,0.4443359,-0.5965576,-0.1087036,-0.2480469,9.9003906,-12.9746094
6956.4,-18.8554688,-2.8945312,-2.0273438,0.6712036,0.4668579,-0.5631714,-0.1199341,-0.2617188,9.9062500,-12.8496094
6960.5,-18.9257812,-2.7187500,-2.2890625,0.6802979,0.4852295,-0.5338745,-0.1292114,-0.2578125,9.8769531,-12.6796875
6969.0,-20.3515625,-1.4257812,-2.2734375,0.6890259,0.5041504,-0.5017700,-0.1387939,-0.2382812,9.7675781,-12.4941406
6976.4,-20.1171875,-1.2968750,-2.6093750,0.6968384,0.5226440,-0.4682007,-0.1483765,-0.2617188,9.2578125,-11.9902344
6987.0,-20.2109375,-0.1445312,-2.3515625,0.7086182,0.5557251,-0.4016113,-0.1665649,-0.4140625,8.4433594,-11.1933594
6991.2,-20.3046875,1.2617188,-1.3437500,0.7156982,0.5821533,-0.3395996,-0.1831055,-0.5781250,7.9707031,-10.6894531
6996.4,-19.8320312,1.8164062,-0.9531250,0.7182007,0.5931396,-0.3095703,-0.1911621,-0.8046875,7.4394531,-10.1289062
7000.5,-19.6171875,2.0312500,-0.4765625,0.7200317,0.6013794,-0.2839355,-0.1982422,-1.0898438,6.8515625,-9.5351562
7005.7,-19.4257812,2.1562500,0.3593750,0.7216797,0.6085205,-0.2578735,-0.2057495,-1.4394531,6.2285156,-8.8984375
7022.0,-18.0625000,2.5859375,2.5078125,0.7272949,0.6189575,-0.1900635,-0.2277832,-2.7109375,4.1621094,-6.7167969
7026.4,-17.3476562,2.1835938,2.8281250,0.7299805,0.6186523,-0.1710815,-0.2348022,-3.1210938,3.5351562,-5.9082031
7031.0,-15.8007812,1.4335938,3.2343750,0.7332764,0.6166382,-0.1539917,-0.2414551,-3.4941406,2.9687500,-5.0722656
7036.4,-14.4140625,1.2578125,3.1796875,0.7370605,0.6132812,-0.1396484,-0.2471313,-3.7988281,2.4609375,-4.1992188
7040.7,-13.1523438,1.3828125,3.2148438,0.7412720,0.6088867,-0.1278687,-0.2517700,-4.0175781,2.0156250,-3.2929688
7045.8,-11.8164062,0.9960938,2.8828125,0.7461548,0.6033936,-0.1176758,-0.2555542,-4.1250000,1.6347656,-2.4003906
7050.2,-9.9492188,0.1875000,2.3867188,0.7515259,0.5971680,-0.1093750,-0.2581787,-4.1386719,1.3066406,-1.5097656
7056.6,-9.1601562,-0.2109375,2.0898438,0.7576294,0.5899658,-0.1024170,-0.2596436,-4.0351562,1.0273438,-0.6210938
7061.0,-8.3945312,-0.6679688,1.7617188,0.7630615,0.5836182,-0.0982056,-0.2597656,-3.8554688,0.7519531,0.2070312
7066.2,-7.9257812,-0.7578125,1.5742188,0.7694702,0.5761719,-0.0952148,-0.2586060,-3.6679688,0.4687500,0.9687500
7071.2,-6.7539062,-0.5976562,1.4335938,0.7752075,0.5695190,-0.0941162,-0.2565918,-3.4746094,0.2304688,1.6464844
7076.6,-6.1914062,-0.5195312,1.3632812,0.7816772,0.5620728,-0.0944824,-0.2532959,-3.3261719,-0.0058594,2.2207031
7080.5,-5.6835938,-0.6289062,1.2812500,0.7872314,0.5556030,-0.0958862,-0.2497559,-3.1914062,-0.1953125,2.7207031
7088.9,-4.4375000,-1.4257812,1.6523438,0.7935181,0.5482788,-0.0985718,-0.2449951,-3.0898438,-0.3691406,3.1562500
7100.2,-3.6015625,-1.9179688,2.0078125,0.8056030,0.5337524,-0.1065674,-0.2340698,-3.0527344,-0.7421875,3.8964844
7102.0,-3.3085938,-2.1796875,2.1132812,0.8117676,0.5259399,-0.1117554,-0.2279663,-3.1562500,-0.9648438,4.2363281
7106.0,-2.6914062,-2.4414062,2.0546875,0.8182983,0.5172119,-0.1179810,-0.2212524,-3.3125000,-1.2089844,4.5468750
7110.2,-2.0859375,-2.7929688,1.9804688,0.8247070,0.5081787,-0.1247559,-0.2144775,-3.4941406,-1.4960938,4.8535156
7169.0,4.6992188,-8.6601562,-3.8476562,0.9326172,0.3190308,-0.1659546,-0.0296021,-4.9218750,-8.7675781,7.7441406
7190.4,1.7382812,-5.8632812,-6.4570312,0.9168701,0.3678589,-0.1497803,-0.0397339,-4.1992188,-13.7617188,8.5195312
7196.2,1.8789062,-7.3320312,-9.2929688,0.9166870,0.3470459,-0.1954956,-0.0322876,-3.8261719,-15.3808594,8.7734375
7201.0,1.9062500,-7.2578125,-9.3828125,0.9133911,0.3287354,-0.2387695,-0.0255737,-3.6289062,-15.3671875,8.8281250
7206.2,2.0664062,-7.2617188,-9.5234375,0.9074707,0.3107910,-0.2819824,-0.0185547,-3.4316406,-15.4277344,8.9082031
7214.6,4.0742188,-8.3476562,-10.6562500,0.8996582,0.2940063,-0.3224487,-0.0115356,-3.2265625,-15.4082031,8.9863281
7226.7,4.2421875,-7.7070312,-10.8632812,0.8771973,0.2621460,-0.4022827,0.0032959,-2.3437500,-14.2148438,9.1503906
7230.7,6.1367188,-7.1328125,-12.3593750,0.8483887,0.2305298,-0.4760742,0.0215454,-1.9335938,-13.4414062,9.0859375
7235.7,6.8046875,-6.3085938,-12.6875000,0.8330078,0.2149048,-0.5087891,0.0322876,-1.5292969,-12.5937500,8.8906250
7241.2,7.1250000,-5.2343750,-12.7734375,0.8156128,0.1992188,-0.5413818,0.0442505,-1.1171875,-11.7480469,8.5820312
7246.4,7.1250000,-4.2031250,-12.6054688,0.7993164,0.1857910,-0.5688477,0.0554199,-0.7519531,-10.9179688,8.1289062
7261.3,5.2460938,-3.7226562,-9.0351562,0.7528687,0.1558838,-0.6340332,0.0831299,-0.1835938,-8.8437500,6.0664062
